ancestor_concept_id,descendant_concept_id,min_levels_of_separation,max_levels_of_separation
2052490387,2052490387,0,0
2052490388,2052490388,0,0
2052490389,2052490389,0,0
2052490390,2052490390,0,0
2052490391,2052490391,0,0
2052490392,2052490392,0,0
2052490393,2052490393,0,0
2052490394,2052490394,0,0
2052490395,2052490395,0,0
2052490396,2052490396,0,0
2052490397,2052490397,0,0
2052490398,2052490398,0,0
2052490399,2052490399,0,0
2052490400,2052490400,0,0
2052490401,2052490401,0,0
2052490402,2052490402,0,0
2052490403,2052490403,0,0
2052490404,2052490404,0,0
2052490405,2052490405,0,0
2052490406,2052490406,0,0
2052490407,2052490407,0,0
2052490408,2052490408,0,0
2052490409,2052490409,0,0
2052490410,2052490410,0,0
2052490411,2052490411,0,0
2052490412,2052490412,0,0
2052490413,2052490413,0,0
2052490414,2052490414,0,0
2052490415,2052490415,0,0
2052490416,2052490416,0,0
2052490417,2052490417,0,0
2052490418,2052490418,0,0
2052490419,2052490419,0,0
2052490420,2052490420,0,0
2052490421,2052490421,0,0
2052490422,2052490422,0,0
2052490423,2052490423,0,0
2052490424,2052490424,0,0
2052490425,2052490425,0,0
2052490426,2052490426,0,0
2052490427,2052490427,0,0
2052490428,2052490428,0,0
2052490429,2052490429,0,0
2052490430,2052490430,0,0
2052490431,2052490431,0,0
2052490432,2052490432,0,0
2052490433,2052490433,0,0
2052490434,2052490434,0,0
2052490435,2052490435,0,0
2052490436,2052490436,0,0
2052490437,2052490437,0,0
2052490438,2052490438,0,0
2052490439,2052490439,0,0
2052490440,2052490440,0,0
2052490441,2052490441,0,0
2052490442,2052490442,0,0
2052490443,2052490443,0,0
2052490444,2052490444,0,0
2052490445,2052490445,0,0
2052490446,2052490446,0,0
2052490447,2052490447,0,0
2052490448,2052490448,0,0
2052490449,2052490449,0,0
2052490450,2052490450,0,0
2052490451,2052490451,0,0
2052490452,2052490452,0,0
2052490453,2052490453,0,0
2052490454,2052490454,0,0
2052490455,2052490455,0,0
2052490456,2052490456,0,0
2052490457,2052490457,0,0
2052490458,2052490458,0,0
2052490459,2052490459,0,0
2052490460,2052490460,0,0
2052490461,2052490461,0,0
2052490462,2052490462,0,0
2052490463,2052490463,0,0
2052490464,2052490464,0,0
2052490465,2052490465,0,0
2052490466,2052490466,0,0
2052490467,2052490467,0,0
2052490468,2052490468,0,0
2052490469,2052490469,0,0
2052490470,2052490470,0,0
2052490471,2052490471,0,0
2052490472,2052490472,0,0
2052490473,2052490473,0,0
2052490474,2052490474,0,0
2052490475,2052490475,0,0
2052490476,2052490476,0,0
2052490477,2052490477,0,0
2052490478,2052490478,0,0
2052490479,2052490479,0,0
2052490480,2052490480,0,0
2052490481,2052490481,0,0
2052490482,2052490482,0,0
2052490483,2052490483,0,0
2052490484,2052490484,0,0
2052490485,2052490485,0,0
2052490486,2052490486,0,0
2052490487,2052490487,0,0
2052490488,2052490488,0,0
2052490489,2052490489,0,0
2052490490,2052490490,0,0
2052490491,2052490491,0,0
2052490492,2052490492,0,0
2052490493,2052490493,0,0
2052490494,2052490494,0,0
2052490495,2052490495,0,0
2052490496,2052490496,0,0
